assignment_id,incident_id,vehicle_plate,driver_id,course_id,course_title_ru,assigned_at,due_at,test_score,passed,completed_at,repeat_within_30d
TA-03012ab5-5dcd-4f30-bbfa-5ce12499e4ea,03012ab5-5dcd-4f30-bbfa-5ce12499e4ea,M477YM790,DRV-8145,C-FATIGUE,Контроль усталости,2026-05-14T23:37:22Z,2026-05-17T23:37:22Z,1,false,,false
TA-05977363-5b3f-4bd0-8a62-401d7a84be17,05977363-5b3f-4bd0-8a62-401d7a84be17,В224ВВ125,DRV-4766,C-BASE,Базовый курс безопасности,2026-05-14T21:14:34Z,2026-05-17T21:14:34Z,19,true,2026-05-16T20:14:34Z,false
TA-0605028d-a8f9-4237-a9dd-c5d0b70d10cd,0605028d-a8f9-4237-a9dd-c5d0b70d10cd,У126ТК124,DRV-6712,C-FATIGUE,Контроль усталости,2026-05-18T21:54:59Z,2026-05-21T21:54:59Z,7,false,,true
TA-106c40d5-ee6a-4691-a97a-9762c7f34c02,106c40d5-ee6a-4691-a97a-9762c7f34c02,В224ВВ125,DRV-4766,C-BASE,Базовый курс безопасности,2026-05-14T23:40:44Z,2026-05-17T23:40:44Z,1,false,,true
TA-11118a13-d10a-4428-8cdd-f8d7f6ce0698,11118a13-d10a-4428-8cdd-f8d7f6ce0698,A079AM250,DRV-4459,C-FATIGUE,Контроль усталости,2026-05-14T19:55:55Z,2026-05-17T19:55:55Z,7,false,,false
TA-122f8e75-9edf-4db8-839e-5de6b29bd45b,122f8e75-9edf-4db8-839e-5de6b29bd45b,У126ТК124,DRV-6712,C-FATIGUE,Контроль усталости,2026-05-18T21:53:15Z,2026-05-21T21:53:15Z,19,true,2026-05-19T08:53:15Z,true
TA-155a16a0-ca5e-4313-9369-56288624ccb5,155a16a0-ca5e-4313-9369-56288624ccb5,M477YM790,DRV-8145,C-FATIGUE,Контроль усталости,2026-05-14T23:47:03Z,2026-05-17T23:47:03Z,12,false,2026-05-15T09:47:03Z,true
TA-15ffa66e-56c3-46fe-a527-618ea12c2396,15ffa66e-56c3-46fe-a527-618ea12c2396,С737СЕ198,DRV-9163,C-SMOOTH,Плавное вождение,2026-05-14T18:54:50Z,2026-05-17T18:54:50Z,2,false,,false
TA-16d48e1f-1d6f-41c7-9ed5-0a87713f329c,16d48e1f-1d6f-41c7-9ed5-0a87713f329c,У522ХЕ178,DRV-4072,C-FATIGUE,Контроль усталости,2026-05-18T23:54:04Z,2026-05-21T23:54:04Z,6,false,,false
TA-1c4e15ff-ff19-4531-b8a4-5c71ec49fe5c,1c4e15ff-ff19-4531-b8a4-5c71ec49fe5c,М083ОУ124,DRV-2211,C-BASE,Базовый курс безопасности,2026-05-14T19:17:46Z,2026-05-17T19:17:46Z,6,false,,false
TA-283481ec-2f86-482d-a2fc-ee0914996e48,283481ec-2f86-482d-a2fc-ee0914996e48,С806УА797,DRV-1159,C-RULES,Регламент и оборудование,2026-05-14T19:00:34Z,2026-05-17T19:00:34Z,14,false,2026-05-15T19:00:34Z,false
TA-2b23bea5-0647-4428-b64e-4a99f8304f3f,2b23bea5-0647-4428-b64e-4a99f8304f3f,О802УЕ198,DRV-6262,C-FOCUS,Концентрация и отвлечения,2026-05-14T22:28:03Z,2026-05-17T22:28:03Z,10,false,2026-05-15T21:28:03Z,false
TA-2da126f5-3f48-43ba-b2cd-9307ea09d400,2da126f5-3f48-43ba-b2cd-9307ea09d400,С643УР799,DRV-8218,C-BASE,Базовый курс безопасности,2026-05-18T23:58:32Z,2026-05-21T23:58:32Z,16,false,2026-05-20T19:58:32Z,true
TA-3059d92e-c668-4c58-b3dd-3326e1cd6a45,3059d92e-c668-4c58-b3dd-3326e1cd6a45,У126ТК124,DRV-6712,C-FATIGUE,Контроль усталости,2026-05-18T22:00:39Z,2026-05-21T22:00:39Z,1,false,,true
TA-395a269d-0a57-4a4a-857c-14a7d759b99b,395a269d-0a57-4a4a-857c-14a7d759b99b,Т266АК977,DRV-6846,C-SPEED,Скоростной режим,2026-05-14T22:36:58Z,2026-05-17T22:36:58Z,20,true,2026-05-16T16:36:58Z,false
TA-439e3dfb-d41c-476f-a05d-5f062783d2f9,439e3dfb-d41c-476f-a05d-5f062783d2f9,С737СЕ198,DRV-9163,C-BASE,Базовый курс безопасности,2026-05-14T18:42:34Z,2026-05-17T18:42:34Z,12,false,2026-05-15T10:42:34Z,false
TA-46b542d1-1ba3-4997-9496-9f0859a9bc30,46b542d1-1ba3-4997-9496-9f0859a9bc30,У126ТК124,DRV-6712,C-FATIGUE,Контроль усталости,2026-05-18T21:56:19Z,2026-05-21T21:56:19Z,19,true,2026-05-20T05:56:19Z,true
TA-4e86f67f-340f-4db7-9972-b8e5646a9668,4e86f67f-340f-4db7-9972-b8e5646a9668,С737СЕ198,DRV-9163,C-BASE,Базовый курс безопасности,2026-05-14T18:53:54Z,2026-05-17T18:53:54Z,14,false,2026-05-16T09:53:54Z,false
TA-511a8d67-242b-4b5f-9d21-e059645a2413,511a8d67-242b-4b5f-9d21-e059645a2413,В844УВ186,DRV-1421,C-FATIGUE,Контроль усталости,2026-05-18T23:30:57Z,2026-05-21T23:30:57Z,3,false,,false
TA-5546a06a-ab16-459d-82ba-70425646833d,5546a06a-ab16-459d-82ba-70425646833d,В224ВВ125,DRV-4766,C-BASE,Базовый курс безопасности,2026-05-18T23:44:21Z,2026-05-21T23:44:21Z,2,false,,true
