dataset_vehicle_code,AlarmId,TelemetryId,TerminalId,UnitId,UnitName,UnitStateNumber,Begin,End,Type,Speed,Address,VideoCount,VideoSizeBytes,CameraIds,RequestedCameraIds,Latitude,Longitude
T780RN198,7dc1110a-8f27-4cac-9d68-b6b602f346ca,3b389090-78b4-4d9b-89c3-e5e5b1740593,f85c73b1-81d2-4f41-9bd6-d8deea54d862,0cfa33e2-7331-49d2-8ed6-fe5b58ba699c,Т 780 РН 198  15133,Т780РН198,2026-05-14T20:42:21Z,2026-05-14T20:42:29Z,Distraction,32.0,,3,1044707,"[1, 2]","[1, 2, 3]",,
T780RN198,9cf96b29-9309-4bf4-9c4f-fdf847e196f6,92161ccd-aad1-4fc5-9b70-65536b021dad,f85c73b1-81d2-4f41-9bd6-d8deea54d862,0cfa33e2-7331-49d2-8ed6-fe5b58ba699c,Т 780 РН 198  15133,Т780РН198,2026-05-14T20:41:41Z,2026-05-14T20:41:52Z,SharpAcceleration,28.0,,3,1401955,"[1, 2]","[1, 2, 3]",,
R680MA196,fa338699-3b21-4a41-a384-4b0fdf7f23d0,87636266-8f32-44a7-821a-96ac5b66320d,e5fac82f-b4db-492f-9a5e-3c51bdf4e030,bb719c43-44be-4e41-95cf-6d19d3121df7,Р680МА196,Р680МА196,2026-05-14T22:18:43Z,2026-05-14T22:22:33Z,Sabotage,67.0,"Екатеринбург,Сиреневый бульвар,18",2,624460,"[1, 5]","[1, 5]",,
R680MA196,ee809241-e908-4c1a-ac5d-58f6b1da36be,58735ee6-dc80-4b7e-93ab-2f703cc39452,e5fac82f-b4db-492f-9a5e-3c51bdf4e030,bb719c43-44be-4e41-95cf-6d19d3121df7,Р680МА196,Р680МА196,2026-05-14T22:08:34Z,2026-05-14T22:08:44Z,DangerousDistance,91.0,Екатеринбург,2,565324,"[1, 5]","[1, 5]",,
O802UE198,b569370b-2c25-410b-b6df-b1f13d81bf84,c76730d2-c516-41f7-9479-b7c22ddfc4a7,dec3e836-4ff9-480f-933b-c46a44e08188,2efda222-ac14-4184-b8c7-f4f6fe6a4a77,О 802 УЕ 198  6170,О802УЕ198,2026-05-14T22:39:57Z,2026-05-14T22:40:15Z,SharpBraking,39.0,"Санкт-Петербург,Уманский переулок,88Б",3,1223303,"[1, 2, 3]","[1, 2, 3]",,
O802UE198,2b23bea5-0647-4428-b64e-4a99f8304f3f,3f295a4a-5491-48fd-885f-59f124ba2191,dec3e836-4ff9-480f-933b-c46a44e08188,2efda222-ac14-4184-b8c7-f4f6fe6a4a77,О 802 УЕ 198  6170,О802УЕ198,2026-05-14T22:28:03Z,2026-05-14T22:28:11Z,Distraction,33.0,"Санкт-Петербург,Среднеохтинский проспект,17",3,1561603,"[1, 2, 3]","[1, 2, 3]",,
S725AT159,a9e4a086-c515-4a63-8722-55f6f04fcf81,11e55788-aba7-4c8c-bea0-52847080f35e,72bf3b4c-c17f-4f2c-abf7-b0ed5e0ce68c,cf7ded7d-ebc3-4f1b-aa8a-0ec937b791fc,С725АТ159(ВА),С725АТ159,2026-05-14T23:40:29Z,2026-05-14T23:40:40Z,Distraction,24.0,Березники,2,969408,[1],"[1, 2, 3, 5]",,
S725AT159,b855d68a-fb90-4b80-b7ed-16616fee9b9f,9ffebb15-4fa4-404a-8910-6551024bffde,72bf3b4c-c17f-4f2c-abf7-b0ed5e0ce68c,cf7ded7d-ebc3-4f1b-aa8a-0ec937b791fc,С725АТ159(ВА),С725АТ159,2026-05-14T23:22:37Z,2026-05-14T23:22:46Z,Yawning,67.0,Березники,2,726124,[1],"[1, 2, 3, 5]",,
M477YM790,155a16a0-ca5e-4313-9369-56288624ccb5,7a184312-ffb7-4963-9d06-3ff19d0b6977,5c5dafc4-a74d-4e69-a3e2-3115aa928e45,b5f05f9a-b7b9-442c-bccf-a86469c499f1,M477YM790,M477YM790,2026-05-14T23:47:03Z,2026-05-14T23:47:12Z,Drowsiness,61.0,"Москва,Волгоградский проспект,161А",3,1864503,"[1, 2, 3]","[1, 2, 3]",,
M477YM790,03012ab5-5dcd-4f30-bbfa-5ce12499e4ea,a0eef84a-8f2a-42da-89ea-b54702e6e37a,5c5dafc4-a74d-4e69-a3e2-3115aa928e45,b5f05f9a-b7b9-442c-bccf-a86469c499f1,M477YM790,M477YM790,2026-05-14T23:37:22Z,2026-05-14T23:37:32Z,Yawning,56.0,,3,2095419,"[1, 2, 3]","[1, 2, 3]",,
M482AT156,e7652db8-5f43-41de-a26b-6f4ad25fc476,3e41e7c4-3638-4732-81e4-e511b99c96a5,60b99480-6acf-4aff-a552-b2d6ea0640d5,8259025c-3675-42b9-bc8d-8ae1004da285,М482АТ156,М482АТ156,2026-05-14T23:57:17Z,2026-05-15T00:01:25Z,NoDriver,107.0,Уфа,1,179457,"[1, 5]",[5],,
