alarm_id,dataset_vehicle_code,unit_id,event_type,period_index,period_type,period_duration,track_point_count
03012ab5-5dcd-4f30-bbfa-5ce12499e4ea,M477YM790,b5f05f9a-b7b9-442c-bccf-a86469c499f1,Yawning,0,3,00:22:48,1
03012ab5-5dcd-4f30-bbfa-5ce12499e4ea,M477YM790,b5f05f9a-b7b9-442c-bccf-a86469c499f1,Yawning,1,2,00:00:15,2
03012ab5-5dcd-4f30-bbfa-5ce12499e4ea,M477YM790,b5f05f9a-b7b9-442c-bccf-a86469c499f1,Yawning,2,1,00:07:07,32
05977363-5b3f-4bd0-8a62-401d7a84be17,V224BB125,35465f3f-e01b-4f1b-a750-39a40af5bdff,SeatBelt,0,1,00:18:04,66
05977363-5b3f-4bd0-8a62-401d7a84be17,V224BB125,35465f3f-e01b-4f1b-a750-39a40af5bdff,SeatBelt,1,2,00:10:41,2
05977363-5b3f-4bd0-8a62-401d7a84be17,V224BB125,35465f3f-e01b-4f1b-a750-39a40af5bdff,SeatBelt,2,1,00:02:47,15
106c40d5-ee6a-4691-a97a-9762c7f34c02,V224BB125,35465f3f-e01b-4f1b-a750-39a40af5bdff,Smoking,0,1,00:44:25,274
11118a13-d10a-4428-8cdd-f8d7f6ce0698,A079AM250,879edff3-be37-478e-a665-8c674a8661b4,Yawning,0,1,00:20:18,102
11118a13-d10a-4428-8cdd-f8d7f6ce0698,A079AM250,879edff3-be37-478e-a665-8c674a8661b4,Yawning,1,2,00:09:53,2
155a16a0-ca5e-4313-9369-56288624ccb5,M477YM790,b5f05f9a-b7b9-442c-bccf-a86469c499f1,Drowsiness,0,3,00:13:07,1
155a16a0-ca5e-4313-9369-56288624ccb5,M477YM790,b5f05f9a-b7b9-442c-bccf-a86469c499f1,Drowsiness,1,2,00:00:15,2
155a16a0-ca5e-4313-9369-56288624ccb5,M477YM790,b5f05f9a-b7b9-442c-bccf-a86469c499f1,Drowsiness,2,1,00:09:15,44
155a16a0-ca5e-4313-9369-56288624ccb5,M477YM790,b5f05f9a-b7b9-442c-bccf-a86469c499f1,Drowsiness,3,2,00:00:30,2
155a16a0-ca5e-4313-9369-56288624ccb5,M477YM790,b5f05f9a-b7b9-442c-bccf-a86469c499f1,Drowsiness,4,3,00:07:02,1
15ffa66e-56c3-46fe-a527-618ea12c2396,S737CE198,007ecbc2-deb0-43cc-ba38-fcbc7496a71d,SharpBraking,0,1,00:21:05,143
15ffa66e-56c3-46fe-a527-618ea12c2396,S737CE198,007ecbc2-deb0-43cc-ba38-fcbc7496a71d,SharpBraking,1,2,00:09:07,2
1c4e15ff-ff19-4531-b8a4-5c71ec49fe5c,M083OU124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,SeatBelt,0,2,00:01:05,2
1c4e15ff-ff19-4531-b8a4-5c71ec49fe5c,M083OU124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,SeatBelt,1,1,00:18:52,106
1c4e15ff-ff19-4531-b8a4-5c71ec49fe5c,M083OU124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,SeatBelt,2,2,00:04:23,2
1c4e15ff-ff19-4531-b8a4-5c71ec49fe5c,M083OU124,bca5ea4c-f033-4a80-8b74-d1789e8c9e58,SeatBelt,3,3,00:06:51,1
283481ec-2f86-482d-a2fc-ee0914996e48,S806UA797,412d7022-5aaf-4c87-ace9-d3160743636f,NoDriver,0,2,00:10:05,2
283481ec-2f86-482d-a2fc-ee0914996e48,S806UA797,412d7022-5aaf-4c87-ace9-d3160743636f,NoDriver,1,1,00:21:52,91
2b23bea5-0647-4428-b64e-4a99f8304f3f,O802UE198,2efda222-ac14-4184-b8c7-f4f6fe6a4a77,Distraction,0,1,00:27:19,117
2b23bea5-0647-4428-b64e-4a99f8304f3f,O802UE198,2efda222-ac14-4184-b8c7-f4f6fe6a4a77,Distraction,1,2,00:02:49,2
395a269d-0a57-4a4a-857c-14a7d759b99b,T266AK977,3e8e062e-eff2-4e11-bc5b-03f4e15d167b,SpeedLimitViolation,0,3,00:14:48,1
395a269d-0a57-4a4a-857c-14a7d759b99b,T266AK977,3e8e062e-eff2-4e11-bc5b-03f4e15d167b,SpeedLimitViolation,1,1,00:00:48,13
