processing_center,service,fuel_type,address,transactions,vehicles,volume_l,amount_rub,avg_unit_price_rub
Газпромнефть,Аи-92,АИ-92,"Свердловская область, Невьянск, а/д Екатеринбург-Серов, 86 км",1,Е551ОТ196,32.0,1877.44,58.67
Газпромнефть,Аи-92,АИ-92,"Свердловская область, г. Нижний Тагил, ул. Краснознаменная, д.132",2,Е551ОТ196,65.0,3863.7,59.465
Газпромнефть,ДТ,ДТ,"Кемеровская область, Ленинск-Кузнецкий, Р-38415 км",1,О093КУ142,40.0,2758.0,68.95
Газпромнефть,ДТ,ДТ,"Кемеровская область, г. Кемерово, Рудничный район, ул. Нахимова, д.210, стр.(сельская больница)",1,О093КУ142,45.0,3066.75,68.15
Газпромнефть,ДТ,ДТ,"Кемеровская область, г. Кемерово, ул. Суворова, д.29, стр.1",1,О093КУ142,30.0,2045.7,68.19
Газпромнефть,ДТ Зимнее,ДТ,"ЯНАО, г. Надым,, а/д Надым-Аэропорт",2,С307ОЕ89,100.0,7879.0,78.79
Газпромнефть,ДТ Зимнее,ДТ,"ЯНАО, г. Салехард, ул. Маяковского, д.64",1,С307ОЕ89,50.0,3804.0,76.08
Ликард,Автобензины ЭКТО-95,АИ-95,"-, 671 км трассы М10, -, -, -",1,М119ОА198,26.0,1864.2,71.7
Ликард,Автобензины ЭКТО-95,АИ-95,"Санкт-Петербург, Пискаревский, 43",2,М119ОА198,71.0,5090.7,71.7
Ликард,Топливо дизельное ЭКТО,ДТ,"г. Армавир, Северный жилой район, 17",2,А144ЕВ193,95.0,7169.65,75.47
РН-карт,АИ-95,АИ-95,"Россия, Тверская область, Вышневолоцкий район, М10, 320 км, справа, с. Коломно",1,Н767СУ69,30.0,1890.9,67.05
РН-карт,АИ-95,АИ-95,"Россия, Тверская область, Торжокский район, М10, 247 км, справа, д. Зизино, 8",1,Н767СУ69,30.0,1911.0,67.05
РН-карт,АИ-95,АИ-95,"Россия, Тверская область, г. Торжок, ул. Кожевников, 26Б",1,Н767СУ69,25.0,1592.5,67.05
РН-карт,АИ-95-Фирм,АИ-95,"Россия, Самарская область, г. Самара, ул. Демократическая, 69",1,Е992НК763,40.0,2626.0,69.1
РН-карт,АИ-95-Фирм,АИ-95,"Россия, Самарская область, г. Самара, ул. Жигули, 62",1,Е992НК763,50.0,3282.5,69.1
РН-карт,АИ-95-Фирм,АИ-95,"Россия, Самарская область, г. Самара, ш. Московское, 232",1,Е992НК763,50.13,3255.94,69.1
РН-карт,ДТ-Зим,ДТ,"Россия, Республика Бурятия, Заиграевский район, п. Онохой, ул. Трактовая, 45",1,А916МВ03,40.0,3067.2,82.45
РН-карт,ДТ-Зим,ДТ,"Россия, Республика Бурятия, г. Улан-Удэ, ул. Кольцова, 1А",1,А916МВ03,30.0,2297.7,82.35
РН-карт,ДТ-Лет,ДТ,"Россия, Краснодарский край, г. Армавир, ул. Кирова, 66А",1,А144ЕВ193,30.0,2075.7,74.4
РН-карт,ДТ-Лет,ДТ,"Россия, Республика Бурятия, г. Улан-Удэ, ул. Заовражная, 1В",1,А916МВ03,40.0,2997.6,82.35
РН-карт,ДТ-Лет,ДТ,"Россия, Республика Калмыкия, г. Элиста, ул. Ленина, 8/5",2,Н986ЕВ126,105.0,7946.4,74.2
РН-карт,ДТ-Лет,ДТ,"Россия, Саратовская область, Калининский район, г. Калининск, ул. Южная, 2",1,М183АВ164,40.0,2636.4,74.9
РН-карт,ДТ-Лет,ДТ,"Россия, Саратовская область, г. Саратов, ул. Рахова, 238Ю",2,М183АВ164,60.0,4134.6,74.9
РН-карт,ДТ-Меж,ДТ,"Россия, Ставропольский край, Апанасенковский район, с. Дивное, ул. Шоссейная, 9",1,Н986ЕВ126,25.0,1768.25,74.45
