public_unit_id,public_terminal_id,vehicle_id,sensor_group,sensor_id,sensor_name,sensor_type,output_mode,source_file
1d081b43-c7e1-48a0-8d48-6cd97f723de8,0306b2a1-ebb8-443a-ac37-456c2056a6fa,Т671КР31(ТМ),analogSensors,7.0,Уровень GSM,AnalogSensor,,datasets/raw/bo_sensors_catalog_0306b2a1-ebb8-443a-ac37-456c2056a6fa.json
1d081b43-c7e1-48a0-8d48-6cd97f723de8,0306b2a1-ebb8-443a-ac37-456c2056a6fa,Т671КР31(ТМ),analogSensors,13.0,Скорость,AnalogSensor,,datasets/raw/bo_sensors_catalog_0306b2a1-ebb8-443a-ac37-456c2056a6fa.json
1d081b43-c7e1-48a0-8d48-6cd97f723de8,0306b2a1-ebb8-443a-ac37-456c2056a6fa,Т671КР31(ТМ),analogSensors,15.0,Текущий пробег,AnalogSensor,,datasets/raw/bo_sensors_catalog_0306b2a1-ebb8-443a-ac37-456c2056a6fa.json
1d081b43-c7e1-48a0-8d48-6cd97f723de8,0306b2a1-ebb8-443a-ac37-456c2056a6fa,Т671КР31(ТМ),analogSensors,19.0,Напряжение на основном и резервном источнике питания 1,AnalogSensor,,datasets/raw/bo_sensors_catalog_0306b2a1-ebb8-443a-ac37-456c2056a6fa.json
1d081b43-c7e1-48a0-8d48-6cd97f723de8,0306b2a1-ebb8-443a-ac37-456c2056a6fa,Т671КР31(ТМ),analogSensors,20.0,Напряжение на основном и резервном источнике питания 2,AnalogSensor,,datasets/raw/bo_sensors_catalog_0306b2a1-ebb8-443a-ac37-456c2056a6fa.json
1d081b43-c7e1-48a0-8d48-6cd97f723de8,0306b2a1-ebb8-443a-ac37-456c2056a6fa,Т671КР31(ТМ),analogSensors,37.0,"Моточасы, подсчитанные во время срабатывания датчика работы генератора",AnalogSensor,,datasets/raw/bo_sensors_catalog_0306b2a1-ebb8-443a-ac37-456c2056a6fa.json
1d081b43-c7e1-48a0-8d48-6cd97f723de8,0306b2a1-ebb8-443a-ac37-456c2056a6fa,Т671КР31(ТМ),analogSensors,53.0,CAN Уровень топлива в баке,AnalogSensor,,datasets/raw/bo_sensors_catalog_0306b2a1-ebb8-443a-ac37-456c2056a6fa.json
1d081b43-c7e1-48a0-8d48-6cd97f723de8,0306b2a1-ebb8-443a-ac37-456c2056a6fa,Т671КР31(ТМ),analogSensors,54.0,CAN Полный расход топлива,AnalogSensor,,datasets/raw/bo_sensors_catalog_0306b2a1-ebb8-443a-ac37-456c2056a6fa.json
1d081b43-c7e1-48a0-8d48-6cd97f723de8,0306b2a1-ebb8-443a-ac37-456c2056a6fa,Т671КР31(ТМ),analogSensors,55.0,CAN Обороты двигателя,AnalogSensor,,datasets/raw/bo_sensors_catalog_0306b2a1-ebb8-443a-ac37-456c2056a6fa.json
1d081b43-c7e1-48a0-8d48-6cd97f723de8,0306b2a1-ebb8-443a-ac37-456c2056a6fa,Т671КР31(ТМ),analogSensors,56.0,CAN Температура охлаждающей жидкости (двигателя),AnalogSensor,,datasets/raw/bo_sensors_catalog_0306b2a1-ebb8-443a-ac37-456c2056a6fa.json
1d081b43-c7e1-48a0-8d48-6cd97f723de8,0306b2a1-ebb8-443a-ac37-456c2056a6fa,Т671КР31(ТМ),analogSensors,57.0,CAN Полный пробег ТС,AnalogSensor,,datasets/raw/bo_sensors_catalog_0306b2a1-ebb8-443a-ac37-456c2056a6fa.json
1d081b43-c7e1-48a0-8d48-6cd97f723de8,0306b2a1-ebb8-443a-ac37-456c2056a6fa,Т671КР31(ТМ),analogSensors,58.0,CAN Нагрузка на ось 1,AnalogSensor,,datasets/raw/bo_sensors_catalog_0306b2a1-ebb8-443a-ac37-456c2056a6fa.json
1d081b43-c7e1-48a0-8d48-6cd97f723de8,0306b2a1-ebb8-443a-ac37-456c2056a6fa,Т671КР31(ТМ),analogSensors,59.0,CAN Нагрузка на ось 2,AnalogSensor,,datasets/raw/bo_sensors_catalog_0306b2a1-ebb8-443a-ac37-456c2056a6fa.json
